HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.BannedArtists[],Answer.genre01,Answer.genre02,Answer.genre03,Answer.genre04,Answer.genre05,Answer.genre06,Answer.genre07,Answer.genre08,Answer.genre09,Answer.genre10,Approve,Reject
3VJ4PFXFJ5IWV6APJ6KPGAQZIA2UA8,3YO63Q6HK64VOOKGI805HKG63MENR0,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 11:33:55 PDT 2020,100,BatchId:4087453;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 11:33:55 PDT 2020,,,31QNSG6A5U4J0R27Z2C2ZA27HC787U,A3RCTCNXCXTNRV,Approved,Sun Jun 21 11:42:25 PDT 2020,Sun Jun 21 11:47:00 PDT 2020,Wed Jun 24 11:47:00 PDT 2020,Sun Jun 21 11:57:24 PDT 2020,,,275,100% (1/1),100% (1/1),100% (1/1),Alison Krauss|Arcade Fire|Bad Company|Barbra St...,4,3,2,2,5,5,4,5,2,5,,
3VJ4PFXFJ5IWV6APJ6KPGAQZIA2UA8,3YO63Q6HK64VOOKGI805HKG63MENR0,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 11:33:55 PDT 2020,100,BatchId:4087453;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 11:33:55 PDT 2020,,,32ZKVD547IYK16ZR02TMDVGSKG6B3R,A3R3RSWZWGA6SN,Approved,Sun Jun 21 11:44:05 PDT 2020,Sun Jun 21 11:44:28 PDT 2020,Wed Jun 24 11:44:28 PDT 2020,Sun Jun 21 11:57:24 PDT 2020,,,23,100% (1/1),100% (1/1),100% (1/1),Adele|Billie Eilish|Bruno Mars|Eric Clapton|Tay...,2,1,4,3,1,2,3,2,5,1,,
3VJ4PFXFJ5IWV6APJ6KPGAQZIA2UA8,3YO63Q6HK64VOOKGI805HKG63MENR0,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 11:33:55 PDT 2020,100,BatchId:4087453;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 11:33:55 PDT 2020,,,3300DTYQT5SAFAHD8478RBFOX5XEQX,A1YTOWIG4C22AN,Approved,Sun Jun 21 11:48:15 PDT 2020,Sun Jun 21 11:49:15 PDT 2020,Wed Jun 24 11:49:15 PDT 2020,Sun Jun 21 11:57:24 PDT 2020,,,60,100% (1/1),100% (1/1),100% (1/1),0,2,1,1,2,4,3,4,4,5,2,,
3VJ4PFXFJ5IWV6APJ6KPGAQZIA2UA8,3YO63Q6HK64VOOKGI805HKG63MENR0,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 11:33:55 PDT 2020,100,BatchId:4087453;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 11:33:55 PDT 2020,,,33CID571074WEFL3RFIGRYCXWAKL3O,AGNJKSH5LFKXZ,Approved,Sun Jun 21 11:49:01 PDT 2020,Sun Jun 21 11:50:59 PDT 2020,Wed Jun 24 11:50:59 PDT 2020,Sun Jun 21 11:57:25 PDT 2020,,,118,100% (1/1),100% (1/1),100% (1/1),Harry McClintock|Kacey Musgraves|The Whites,2,2,2,2,4,3,5,4,4,3,,
3VJ4PFXFJ5IWV6APJ6KPGAQZIA2UA8,3YO63Q6HK64VOOKGI805HKG63MENR0,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 11:33:55 PDT 2020,100,BatchId:4087453;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 11:33:55 PDT 2020,,,33CKWXB73MVNE53KB1MEJQOM0K0115,AL5MR5NR0VYFI,Approved,Sun Jun 21 11:35:50 PDT 2020,Sun Jun 21 11:36:10 PDT 2020,Wed Jun 24 11:36:10 PDT 2020,Sun Jun 21 11:57:25 PDT 2020,,,20,100% (1/1),100% (1/1),100% (1/1),Yoko Ono,1,2,2,1,2,3,5,3,5,3,,
3VJ4PFXFJ5IWV6APJ6KPGAQZIA2UA8,3YO63Q6HK64VOOKGI805HKG63MENR0,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 11:33:55 PDT 2020,100,BatchId:4087453;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 11:33:55 PDT 2020,,,33FBRBDW6RAPC8X3QJKDFWULINYC8R,A1Y2HID85GGCDN,Approved,Sun Jun 21 11:46:56 PDT 2020,Sun Jun 21 11:49:31 PDT 2020,Wed Jun 24 11:49:31 PDT 2020,Sun Jun 21 11:57:25 PDT 2020,,,155,100% (1/1),100% (1/1),100% (1/1),Alanis Morissette|Barbra Streisand|Billie Eilis...,4,4,2,2,2,3,3,2,4,3,,
3VJ4PFXFJ5IWV6APJ6KPGAQZIA2UA8,3YO63Q6HK64VOOKGI805HKG63MENR0,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 11:33:55 PDT 2020,100,BatchId:4087453;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 11:33:55 PDT 2020,,,33LKR6A5KHVONPFTDK6OPW7HS3R1TE,A3JUF1G7UOCGRK,Approved,Sun Jun 21 11:37:43 PDT 2020,Sun Jun 21 11:39:14 PDT 2020,Wed Jun 24 11:39:14 PDT 2020,Sun Jun 21 11:57:25 PDT 2020,,,91,100% (1/1),100% (1/1),100% (1/1),Various Artists,1,1,1,1,1,1,1,1,5,1,,
3VJ4PFXFJ5IWV6APJ6KPGAQZIA2UA8,3YO63Q6HK64VOOKGI805HKG63MENR0,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 11:33:55 PDT 2020,100,BatchId:4087453;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 11:33:55 PDT 2020,,,34S9DKFK760NIILCSDRLUKCZA6DYN7,A3UN1P6COG2PQF,Approved,Sun Jun 21 11:36:00 PDT 2020,Sun Jun 21 11:37:30 PDT 2020,Wed Jun 24 11:37:30 PDT 2020,Sun Jun 21 11:57:25 PDT 2020,,,90,100% (1/1),100% (1/1),100% (1/1),Adele|Alanis Morissette|Alison Krauss|Arcade Fi...,4,4,4,4,2,4,4,3,4,4,,
3VJ4PFXFJ5IWV6APJ6KPGAQZIA2UA8,3YO63Q6HK64VOOKGI805HKG63MENR0,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 11:33:55 PDT 2020,100,BatchId:4087453;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 11:33:55 PDT 2020,,,358010RM5H4BQI4BP8RALNZ3U3MVXG,APTZ3SVLOMYEC,Approved,Sun Jun 21 11:43:31 PDT 2020,Sun Jun 21 11:44:48 PDT 2020,Wed Jun 24 11:44:48 PDT 2020,Sun Jun 21 11:57:26 PDT 2020,,,77,100% (4/4),100% (1/1),100% (1/1),Billie Eilish|Taylor Swift,1,1,1,1,1,1,1,1,1,1,,
3VJ4PFXFJ5IWV6APJ6KPGAQZIA2UA8,3YO63Q6HK64VOOKGI805HKG63MENR0,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 11:33:55 PDT 2020,100,BatchId:4087453;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 11:33:55 PDT 2020,,,35GMH2SV3HS7UY4XTRF426KOI4DEON,A2N0GBB48BMCR7,Approved,Sun Jun 21 11:35:33 PDT 2020,Sun Jun 21 11:37:49 PDT 2020,Wed Jun 24 11:37:49 PDT 2020,Sun Jun 21 11:57:26 PDT 2020,,,136,100% (2/2),100% (2/2),100% (1/1),0,3,3,3,4,5,3,4,5,3,4,,
