HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.BannedArtists[],Answer.genre01,Answer.genre02,Answer.genre03,Answer.genre04,Answer.genre05,Answer.genre06,Answer.genre07,Answer.genre08,Answer.genre09,Answer.genre10,Approve,Reject
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,30BXRYBRP78RJH41AEEK43UNDL2HWE,A2Q10AKNSON2QY,Submitted,Sun Jun 21 07:43:20 PDT 2020,Sun Jun 21 07:45:45 PDT 2020,Wed Jun 24 07:45:45 PDT 2020,,,,145,0% (0/0),0% (0/0),0% (0/0),Billie Eilish|Bruno Mars|Daft Punk|Dixie Chicks|MFSB|Santana|Taylor Swift|Yoko Ono,1,5,1,1,2,1,4,1,5,1,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,31HQ4X3T3VL0YW6IHUJHZ6K9OPFLSA,A1H2AHH07EK4MC,Submitted,Sun Jun 21 07:46:27 PDT 2020,Sun Jun 21 08:00:28 PDT 2020,Wed Jun 24 08:00:28 PDT 2020,,,,841,100% (2/2),100% (2/2),0% (0/0),Adele|Bad Company|Bruno Mars|Eric Clapton|Santana|Taylor Swift|U2,1,2,1,1,1,1,5,5,5,1,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,31N2WW6R9U1AENB754FIWL7DZDUF37,A2BX2E191M8CTR,Submitted,Sun Jun 21 07:43:12 PDT 2020,Sun Jun 21 07:45:46 PDT 2020,Wed Jun 24 07:45:46 PDT 2020,,,,154,0% (0/0),0% (0/0),0% (0/0),Judy Garland|Tavares|Vaughn Meader,4,3,4,2,5,4,5,3,4,2,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,320DUZ38GAXRD19RJ9DNUDOEWPGGJJ,A2TSIVDJSFGM1F,Submitted,Sun Jun 21 07:45:32 PDT 2020,Sun Jun 21 07:46:18 PDT 2020,Wed Jun 24 07:46:18 PDT 2020,,,,46,0% (0/0),0% (0/0),0% (0/0),Phil Collins,2,4,2,3,4,2,4,3,4,2,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,326O153BML9GQ1D83I1ORC8PEP5DEM,A2TDG59VF8BJBF,Submitted,Sun Jun 21 07:52:46 PDT 2020,Sun Jun 21 07:54:35 PDT 2020,Wed Jun 24 07:54:35 PDT 2020,,,,109,0% (0/0),0% (0/0),0% (0/0),Adele|Alanis Morissette|Alison Krauss|Barbra Streisand|Emmylou Harris|Stan Getz & João Gilberto|Taylor Swift|The Soggy Bottom Boys|The Stanley Brothers|Yoko Ono,2,1,3,3,3,4,5,2,5,2,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,32KTQ2V7RGQ2ZZS480K5IOU8W6G9MP,A1G5UODTVW13MM,Submitted,Sun Jun 21 07:42:42 PDT 2020,Sun Jun 21 07:46:07 PDT 2020,Wed Jun 24 07:46:07 PDT 2020,,,,205,0% (0/0),0% (0/0),0% (0/0),Adele|Alison Krauss|Barbra Streisand|Bonnie Raitt|Bruno Mars|Carole King|Celine Dion|Chris Thomas King|Christopher Cross|David Shire|Dixie Chicks|Emmylou Harris|Gillian Welch|Harry McClintock|Herbie Hancock|James Carter and the Prisoners|John Hartford|Judy Garland|Kacey Musgraves|MFSB|Mumford & Sons|Norman Blake|Ralph MacDonald|Ralph Stanley|Ravi Shankar|Ringgo Starr|Stan Getz & João Gilberto|Tavares|Taylor Swift|The Fairfield Four|The Peasall Sisters|The Soggy Bottom Boys|The Stanley Brothers|The Whites|Tony Bennett|Toto|Vaughn Meader|Walter Muphy,3,1,1,1,4,1,3,4,5,3,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,32SCWG5HIKFL2JNJ299LFIX1BANP6U,A12BNHYGU1VWGL,Submitted,Sun Jun 21 08:14:12 PDT 2020,Sun Jun 21 08:16:14 PDT 2020,Wed Jun 24 08:16:14 PDT 2020,,,,122,0% (0/0),0% (0/0),0% (0/0),"Blood, Sweat, and Tears",5,4,4,5,4,4,5,5,4,4,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,32Z9ZLUT1OVJE8VZJSNAN9H1AJ7HO6,AWN8RYDU3FO9E,Submitted,Sun Jun 21 08:13:30 PDT 2020,Sun Jun 21 08:15:19 PDT 2020,Wed Jun 24 08:15:19 PDT 2020,,,,109,0% (0/0),0% (0/0),0% (0/0),Billie Eilish,3,3,2,2,4,4,5,4,5,3,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,3300DTYQT5SAFAHD8478RBFOX4TEQR,A1SPG1KPFY5FL7,Submitted,Sun Jun 21 07:42:10 PDT 2020,Sun Jun 21 07:43:15 PDT 2020,Wed Jun 24 07:43:15 PDT 2020,,,,65,0% (0/0),0% (0/0),0% (0/0),Adele|Bee Gees|Billy Preston|George Michael|James Carter and the Prisoners,5,4,5,3,5,4,5,4,5,5,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,333U7HK6ICQO1HZ0HJCFOSLHJX0JDC,A15L11WFOXPH1I,Submitted,Sun Jun 21 07:46:06 PDT 2020,Sun Jun 21 07:47:55 PDT 2020,Wed Jun 24 07:47:55 PDT 2020,,,,109,0% (0/0),0% (0/0),0% (0/0),Quincy Jones|Steely Dan,4,3,3,3,1,2,1,2,1,2,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,33ISQZVXPSXROBNG7V0IHIQ48DFCCR,A13PO6UXV13CZ6,Submitted,Sun Jun 21 07:43:03 PDT 2020,Sun Jun 21 07:52:20 PDT 2020,Wed Jun 24 07:52:20 PDT 2020,,,,557,0% (0/0),0% (0/0),0% (0/0),Ringgo Starr,4,5,4,5,5,4,5,4,4,5,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,33IZTU6J84CVYQN7VDM5A0FWVYOXS7,AOU59T41ZKA2I,Submitted,Sun Jun 21 07:43:39 PDT 2020,Sun Jun 21 07:49:27 PDT 2020,Wed Jun 24 07:49:27 PDT 2020,,,,348,0% (0/0),0% (0/0),0% (0/0),Yoko Ono,5,5,4,4,3,4,3,4,5,4,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,35USIKEBNURLZYB6MUWTBTS6BVIN6S,A2E7K2Z8VZR7B8,Submitted,Sun Jun 21 07:44:27 PDT 2020,Sun Jun 21 07:47:05 PDT 2020,Wed Jun 24 07:47:05 PDT 2020,,,,158,0% (0/0),0% (0/0),0% (0/0),"Arcade Fire|Bad Company|Barbra Streisand|Blood, Sweat, and Tears|Celine Dion|Chris Thomas King|Christopher Cross|Emmylou Harris|John Hartford|Kacey Musgraves|KC & the Sunshine|Lionel Richie|MFSB|Quincy Jones|Steely Dan|Tavares|The Cox Family|The Fairfield Four|The Peasall Sisters|The Soggy Bottom Boys|Toto|U2|Yoko Ono|Yvone Elliman",4,3,1,1,2,4,5,1,5,2,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,36TFCYNS47L68H9RKJA66M8UMN8HX7,A349TSPKFHIWE1,Submitted,Sun Jun 21 07:43:21 PDT 2020,Sun Jun 21 07:45:52 PDT 2020,Wed Jun 24 07:45:52 PDT 2020,,,,151,100% (11/11),100% (2/2),0% (0/0),Arcade Fire|Beck|Bee Gees|Bob Dylan|Bonnie Raitt|Christopher Cross|Emmylou Harris|Ravi Shankar|Simon & Garfunkel|Taylor Swift|Yoko Ono,3,2,3,4,4,2,3,4,3,1,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,36ZN444YTU9JA36JPA5VNLIGAWIOI2,A1JPTRMCGZ2FEL,Submitted,Sun Jun 21 07:46:27 PDT 2020,Sun Jun 21 07:47:56 PDT 2020,Wed Jun 24 07:47:56 PDT 2020,,,,89,0% (0/0),0% (0/0),0% (0/0),Arcade Fire|Various Artists,2,2,1,4,5,4,3,5,2,5,,
3ZXV7Q5FJDZV53AX8VLH05FK8Q7FCV,31L8DLROGFU04B6SFRCLBIVJVPFA04,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 07:41:54 PDT 2020,100,BatchId:4087283;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 07:41:54 PDT 2020,,,373ERPL3YRJCGUEABEL3VNPUW0ITRX,A2HA2SURHI4FXA,Submitted,Sun Jun 21 07:47:29 PDT 2020,Sun Jun 21 07:49:43 PDT 2020,Wed Jun 24 07:49:43 PDT 2020,,,,134,0% (0/0),0% (0/0),0% (0/0),Carole King,5,4,5,3,4,5,2,2,3,4,,
