HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.BannedArtists[],Answer.genre01,Answer.genre02,Answer.genre03,Answer.genre04,Answer.genre05,Answer.genre06,Answer.genre07,Answer.genre08,Answer.genre09,Answer.genre10,Approve,Reject
3APP19WN73PC3MXR9OEWWQNMDJX6GU,3MRHU52948170L96UEGZU6OYSNZA2O,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 09:22:07 PDT 2020,100,BatchId:4087337;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 09:22:07 PDT 2020,,,3018Q3ZVOL171YF15EUM0IZ28BDAR9,A2JAMNGL6SDAHQ,Approved,Sun Jun 21 09:22:47 PDT 2020,Sun Jun 21 09:25:26 PDT 2020,Wed Jun 24 09:25:26 PDT 2020,Sun Jun 21 09:40:19 PDT 2020,,,159,100% (2/2),100% (1/1),100% (1/1),Arcade Fire|Beck|Bruno Mars,5,4,5,4,3,4,3,5,5,4,,
3APP19WN73PC3MXR9OEWWQNMDJX6GU,3MRHU52948170L96UEGZU6OYSNZA2O,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 09:22:07 PDT 2020,100,BatchId:4087337;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 09:22:07 PDT 2020,,,30JNVC0ORCVMZK8FY5FECEC1PK1HQQ,A2L4PDTJOHV8IC,Approved,Sun Jun 21 09:22:30 PDT 2020,Sun Jun 21 09:23:29 PDT 2020,Wed Jun 24 09:23:29 PDT 2020,Sun Jun 21 09:40:19 PDT 2020,,,59,67% (2/3),100% (1/1),100% (1/1),Arcade Fire|Billy Joel|Bruno Mars|Christopher Cross|George Harrison|Paul Simon|Steely Dan|The Stanley Brothers|Whitney Houston,5,2,3,3,5,5,4,3,4,2,,
3APP19WN73PC3MXR9OEWWQNMDJX6GU,3MRHU52948170L96UEGZU6OYSNZA2O,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 09:22:07 PDT 2020,100,BatchId:4087337;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 09:22:07 PDT 2020,,,326O153BML9GQ1D83I1ORC8PEPKDE1,AIT9BZOULKWER,Approved,Sun Jun 21 09:23:41 PDT 2020,Sun Jun 21 09:26:39 PDT 2020,Wed Jun 24 09:26:39 PDT 2020,Sun Jun 21 09:40:19 PDT 2020,,,178,100% (1/1),100% (1/1),100% (1/1),Arcade Fire|Bee Gees|Bonnie Raitt|Mumford & Sons|Taylor Swift|The Stanley Brothers,4,3,5,2,4,3,4,4,5,5,,
3APP19WN73PC3MXR9OEWWQNMDJX6GU,3MRHU52948170L96UEGZU6OYSNZA2O,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 09:22:07 PDT 2020,100,BatchId:4087337;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 09:22:07 PDT 2020,,,32M8BPYGAWXVIQPL1RSNIC9EJA7IGP,A29X1A8AF3TUQP,Approved,Sun Jun 21 09:23:32 PDT 2020,Sun Jun 21 09:25:14 PDT 2020,Wed Jun 24 09:25:14 PDT 2020,Sun Jun 21 09:40:19 PDT 2020,,,102,100% (1/1),100% (1/1),100% (1/1),Billy Preston,2,3,4,2,1,4,3,3,4,5,,
3APP19WN73PC3MXR9OEWWQNMDJX6GU,3MRHU52948170L96UEGZU6OYSNZA2O,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 09:22:07 PDT 2020,100,BatchId:4087337;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 09:22:07 PDT 2020,,,32UTUBMZ7J74DF1AKCZSWQ8BBZCBVZ,A1V30ZVWLOVHVX,Approved,Sun Jun 21 09:27:01 PDT 2020,Sun Jun 21 09:29:54 PDT 2020,Wed Jun 24 09:29:54 PDT 2020,Sun Jun 21 09:40:19 PDT 2020,,,173,100% (1/1),100% (1/1),100% (1/1),"Barbra Streisand|Bee Gees|Billy Joel|Billy Preston|Blood, Sweat, and Tears|Bob Dylan|Bob Newhart|Bonnie Raitt|Christopher Cross|Daft Punk|Dixie Chicks|Emmylou Harris|Eric Clapton|Fleetwood Mac|Harry McClintock|Taylor Swift|The Cox Family|The Soggy Bottom Boys|Toto|U2|Yoko Ono",1,1,1,1,2,1,5,3,5,1,,
3APP19WN73PC3MXR9OEWWQNMDJX6GU,3MRHU52948170L96UEGZU6OYSNZA2O,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 09:22:07 PDT 2020,100,BatchId:4087337;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 09:22:07 PDT 2020,,,34HJIJKLP87KSGG15XP5OC2517V4VM,A1ZIIX3GDZH1AC,Approved,Sun Jun 21 09:28:14 PDT 2020,Sun Jun 21 09:29:32 PDT 2020,Wed Jun 24 09:29:32 PDT 2020,Sun Jun 21 09:40:20 PDT 2020,,,78,100% (1/1),100% (1/1),100% (1/1),Toto,1,4,5,1,1,1,1,1,5,4,,
3APP19WN73PC3MXR9OEWWQNMDJX6GU,3MRHU52948170L96UEGZU6OYSNZA2O,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 09:22:07 PDT 2020,100,BatchId:4087337;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 09:22:07 PDT 2020,,,34J10VATJI9MVFJZ4NXZCQDGPXGQIS,A2YER9JH3ALG19,Approved,Sun Jun 21 09:25:11 PDT 2020,Sun Jun 21 09:25:40 PDT 2020,Wed Jun 24 09:25:40 PDT 2020,Sun Jun 21 09:40:20 PDT 2020,,,29,100% (1/1),100% (1/1),100% (1/1),Celine Dion,2,1,2,1,1,2,5,1,5,1,,
3APP19WN73PC3MXR9OEWWQNMDJX6GU,3MRHU52948170L96UEGZU6OYSNZA2O,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 09:22:07 PDT 2020,100,BatchId:4087337;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 09:22:07 PDT 2020,,,351SEKWQS3SE2P5LKGP74KDYNRBDMQ,A3ODGLELT1TPX,Approved,Sun Jun 21 09:24:14 PDT 2020,Sun Jun 21 09:25:05 PDT 2020,Wed Jun 24 09:25:05 PDT 2020,Sun Jun 21 09:40:20 PDT 2020,,,51,100% (1/1),100% (1/1),100% (1/1),Arcade Fire,4,4,5,4,4,5,4,4,5,5,,
3APP19WN73PC3MXR9OEWWQNMDJX6GU,3MRHU52948170L96UEGZU6OYSNZA2O,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 09:22:07 PDT 2020,100,BatchId:4087337;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 09:22:07 PDT 2020,,,36NEMU28XIODBV5C1BUXW82JU7HMW8,A3JZYTT9UYV6U6,Approved,Sun Jun 21 09:22:31 PDT 2020,Sun Jun 21 09:23:52 PDT 2020,Wed Jun 24 09:23:52 PDT 2020,Sun Jun 21 09:40:20 PDT 2020,,,81,100% (1/1),100% (1/1),100% (1/1),0,5,4,5,4,5,4,5,4,5,4,,
3APP19WN73PC3MXR9OEWWQNMDJX6GU,3MRHU52948170L96UEGZU6OYSNZA2O,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 09:22:07 PDT 2020,100,BatchId:4087337;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 28 09:22:07 PDT 2020,,,378XPAWRUFOU8ZCIFR0DMQYBLFUAI5,ACM1CEGHXTKZP,Approved,Sun Jun 21 09:22:29 PDT 2020,Sun Jun 21 09:24:32 PDT 2020,Wed Jun 24 09:24:32 PDT 2020,Sun Jun 21 09:40:20 PDT 2020,,,123,100% (1/1),100% (1/1),100% (1/1),0,3,2,1,3,2,3,3,3,5,3,,
