HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.BannedArtists[],Answer.genre01,Answer.genre02,Answer.genre03,Answer.genre04,Answer.genre05,Answer.genre06,Answer.genre07,Answer.genre08,Answer.genre09,Answer.genre10,Approve,Reject
335HHSX8CFGPOR7H3H4SNW9F95XDHS,3O6P9CW6LYTRJ57XT3RLVXUXY4PKOJ,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 10:31:44 PDT 2020,100,BatchId:4087416;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 21 11:15:13 PDT 2020,,,304SM51WA6FOLNK6QHUNL3O4CWUSBP,A2XVLENAJYX691,Submitted,Sun Jun 21 10:37:04 PDT 2020,Sun Jun 21 10:38:18 PDT 2020,Wed Jun 24 10:38:18 PDT 2020,,,,74,0% (0/0),0% (0/0),0% (0/0),0,4,5,5,3,3,4,3,4,5,4,,
335HHSX8CFGPOR7H3H4SNW9F95XDHS,3O6P9CW6LYTRJ57XT3RLVXUXY4PKOJ,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 10:31:44 PDT 2020,100,BatchId:4087416;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 21 11:15:13 PDT 2020,,,30MVJZJNHPOCYRMJ537D2W2RSDF9JH,AVTMSHSGOJ3AA,Submitted,Sun Jun 21 10:42:15 PDT 2020,Sun Jun 21 10:43:30 PDT 2020,Wed Jun 24 10:43:30 PDT 2020,,,,75,0% (0/0),0% (0/0),0% (0/0),Alanis Morissette|Arcade Fire|Bee Gees|Bob Dylan|Daft Punk|Dixie Chicks|Emmylou Harris|Fleetwood Mac|Frank Sinatra|Glen Campbell|Harry McClintock|KC & the Sunshine|Kool & The Gang|Quincy Jones|Ralph MacDonald|Ralph Stanley|Stan Getz & João Gilberto|The Cox Family|Toto|U2,3,3,3,3,3,2,2,2,2,4,,
335HHSX8CFGPOR7H3H4SNW9F95XDHS,3O6P9CW6LYTRJ57XT3RLVXUXY4PKOJ,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 10:31:44 PDT 2020,100,BatchId:4087416;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 21 11:15:13 PDT 2020,,,30OG32W0SXMPCD4LSCFRNHKJSUYNE7,A3S3E3743TT090,Submitted,Sun Jun 21 10:32:22 PDT 2020,Sun Jun 21 10:35:34 PDT 2020,Wed Jun 24 10:35:34 PDT 2020,,,,192,0% (0/0),0% (0/0),0% (0/0),Alanis Morissette|Barbra Streisand|Billie Eilish|Bob Newhart|Judy Garland|Ravi Shankar|Tony Bennett,4,2,2,1,1,2,4,3,5,3,,
335HHSX8CFGPOR7H3H4SNW9F95XDHS,3O6P9CW6LYTRJ57XT3RLVXUXY4PKOJ,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 10:31:44 PDT 2020,100,BatchId:4087416;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 21 11:15:13 PDT 2020,,,31T4R4OBOVRLCUSKGES71WYQ73I7CP,A3E159NSD6WYR5,Submitted,Sun Jun 21 10:38:49 PDT 2020,Sun Jun 21 10:40:24 PDT 2020,Wed Jun 24 10:40:24 PDT 2020,,,,95,0% (0/0),0% (0/0),0% (0/0),Bruno Mars|Celine Dion|Eric Clapton|The Beatles,2,2,2,3,3,5,2,2,5,3,,
335HHSX8CFGPOR7H3H4SNW9F95XDHS,3O6P9CW6LYTRJ57XT3RLVXUXY4PKOJ,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 10:31:44 PDT 2020,100,BatchId:4087416;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 21 11:15:13 PDT 2020,,,31UV0MXWNTNX2T01KV9WEFIPT27I5N,A2QOQF90L2WREO,Submitted,Sun Jun 21 10:41:29 PDT 2020,Sun Jun 21 10:53:59 PDT 2020,Wed Jun 24 10:53:59 PDT 2020,,,,750,0% (0/0),0% (0/0),0% (0/0),David Shire,5,4,5,4,5,5,5,4,5,4,,
335HHSX8CFGPOR7H3H4SNW9F95XDHS,3O6P9CW6LYTRJ57XT3RLVXUXY4PKOJ,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 10:31:44 PDT 2020,100,BatchId:4087416;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 21 11:15:13 PDT 2020,,,326O153BML9GQ1D83I1ORC8PEQ3DEM,A2519LCLPN7Y6I,Submitted,Sun Jun 21 11:12:11 PDT 2020,Sun Jun 21 11:14:46 PDT 2020,Wed Jun 24 11:14:46 PDT 2020,,,,155,0% (0/0),0% (0/0),0% (0/0),Adele,4,3,2,2,5,4,5,4,5,4,,
335HHSX8CFGPOR7H3H4SNW9F95XDHS,3O6P9CW6LYTRJ57XT3RLVXUXY4PKOJ,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 10:31:44 PDT 2020,100,BatchId:4087416;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 21 11:15:13 PDT 2020,,,32KTQ2V7RGQ2ZZS480K5IOU8W7A9ML,A1Z5KUX856V64N,Submitted,Sun Jun 21 10:42:03 PDT 2020,Sun Jun 21 10:44:06 PDT 2020,Wed Jun 24 10:44:06 PDT 2020,,,,123,0% (0/0),0% (0/0),0% (0/0),"Alanis Morissette|Alison Krauss|Arcade Fire|Bad Company|Barbra Streisand|Beck|Bee Gees|Billy Joel|Billy Preston|Blood, Sweat, and Tears|Bob Dylan|Bob Newhart|Bonnie Raitt|Carole King|Celine Dion|Chris Thomas King|Christopher Cross|David Shire|Dixie Chicks|Emmylou Harris|Eric Clapton|Fleetwood Mac|Frank Sinatra|George Harrison|George Michael|Gillian Welch|Glen Campbell|Harry McClintock|Herbie Hancock|James Carter and the Prisoners|John Hartford|Judy Garland|Kacey Musgraves|KC & the Sunshine|Kool & The Gang|Lauryn Hill|Lionel Richie|MFSB|Mumford & Sons|Natalie Cole|Norah Jones|Norman Blake|OutKast|Paul Simon|Phil Collins|Quincy Jones|Ralph MacDonald|Ralph Stanley|Ravi Shankar|Ray Charles|Ringgo Starr|Robert Plant|Santana|Simon & Garfunkel|Stan Getz & João Gilberto|Steely Dan|Stevie Wonder|Tavares|Taylor Swift|The Cox Family|The Fairfield Four|The Peasall Sisters|The Soggy Bottom Boys|The Stanley Brothers|The Whites|Tony Bennett|Toto|U2|Vaughn Meader|Walter Muphy|Whitney Houston|Yoko Ono|Yvone Elliman",1,1,1,1,5,1,3,3,2,1,,
335HHSX8CFGPOR7H3H4SNW9F95XDHS,3O6P9CW6LYTRJ57XT3RLVXUXY4PKOJ,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 10:31:44 PDT 2020,100,BatchId:4087416;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 21 11:15:13 PDT 2020,,,32Q90QCQ1VWO47JIVZNBVP3FYZVEKV,AZERR1TITVNHI,Submitted,Sun Jun 21 10:41:40 PDT 2020,Sun Jun 21 10:43:26 PDT 2020,Wed Jun 24 10:43:26 PDT 2020,,,,106,0% (0/0),0% (0/0),0% (0/0),Adele|Bad Company|Carole King|Daft Punk|Emmylou Harris|Fleetwood Mac|George Michael|Herbie Hancock|James Carter and the Prisoners|Lionel Richie|Natalie Cole|OutKast|Paul Simon|Ralph Stanley|Robert Plant|Tavares|U2|Various Artists|Walter Muphy|Yoko Ono,1,1,1,1,1,1,1,1,1,1,,
335HHSX8CFGPOR7H3H4SNW9F95XDHS,3O6P9CW6LYTRJ57XT3RLVXUXY4PKOJ,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 10:31:44 PDT 2020,100,BatchId:4087416;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 21 11:15:13 PDT 2020,,,32RIADZISVF40OZXB2K0DPIY24E4SW,AJ5WQ0L6F66KY,Submitted,Sun Jun 21 10:39:02 PDT 2020,Sun Jun 21 10:40:17 PDT 2020,Wed Jun 24 10:40:17 PDT 2020,,,,75,0% (0/0),0% (0/0),0% (0/0),Ray Charles,4,5,3,4,4,3,2,1,2,2,,
335HHSX8CFGPOR7H3H4SNW9F95XDHS,3O6P9CW6LYTRJ57XT3RLVXUXY4PKOJ,Music Preferences Survey,Answer a quick questionnaire about your music interests,"survey, academic research, part1",$0.10,Sun Jun 21 10:31:44 PDT 2020,100,BatchId:4087416;OriginalHitTemplateId:928390828;,1800,259200,Sun Jun 21 11:15:13 PDT 2020,,,345LHZDED03ZX58X0TAHIL8G9123UP,AERUGEPUVPX1R,Submitted,Sun Jun 21 10:35:26 PDT 2020,Sun Jun 21 10:38:57 PDT 2020,Wed Jun 24 10:38:57 PDT 2020,,,,211,0% (0/0),0% (0/0),0% (0/0),David Shire|Yoko Ono,5,1,2,1,5,1,4,4,5,3,,
