worker_id,window_duration,tasks_completed,correct_tasks,partial_reward,session_duration,tasks_completed_session,quality_session,total_reward,
A29W8FRNCUTIM9,77,5,1,0.16,221,35,0.371428571,1.01,9.502262443
A1H02T7P69OQ7F,234,7,2,0.21,1016,47,0.489361702,1.32,2.775590551
AYZ10DNMOH3GG,28,2,1,0.02,28,2,0.5,0.02,4.285714286
A1LQQ7UQKJYITI,70,9,4,0.3,234,49,0.530612245,1.38,12.56410256
A2MP227F412SIR,122,10,3,0.25,387,50,0.54,1.33,7.751937984
A12PZT2MUOY9I4,103,10,8,0.29,344,49,0.551020408,1.26,8.546511628
A3FPBA6Z1ZBVZE,176,10,7,0.23,489,49,0.551020408,1.32,6.012269939
A4SY4OEPSZ5M0,98,9,4,0.28,337,48,0.5625,1.25,8.545994065
A2VB559SBL3KKB,131,9,4,0.24,694,46,0.565217391,1.19,3.976945245
A7QWSL1MOFVO7,103,10,7,0.3,1096,49,0.571428571,1.27,2.682481752
A33Z2X2GR192YL,184,9,6,0.23,592,49,0.591836735,1.34,4.966216216
AIFRN9GF0Q1ZI,176,10,5,0.31,632,47,0.595744681,1.37,4.462025316
A2Z65E2WBVVA2N,113,9,7,0.29,863,45,0.6,1.29,3.128621089
A4VZVUVMM9M51,113,10,7,0.27,357,50,0.6,1.28,8.403361345
A30MVTZP96EHL4,104,10,5,0.2,386,46,0.608695652,1.14,7.150259067
A1G6FOCQ4G967A,80,9,7,0.23,639,49,0.612244898,1.31,4.600938967
A23PQMG7CSE4FS,111,10,7,0.28,542,50,0.62,1.54,5.535055351
A2NWJYV01PP63C,151,10,5,0.29,619,48,0.625,1.3,4.65266559
A2RE7TOH2OUS4U,146,9,7,0.26,613,49,0.632653061,1.29,4.796084829
AV8JH6BU0LTCR,87,10,7,0.23,314,49,0.632653061,1.32,9.363057325
A2TBEXK0NIDWEC,274,10,8,0.31,929,44,0.636363636,1.27,2.841765339
AWIG92ISYM93N,107,10,6,0.24,373,50,0.64,1.31,8.042895442
A1OS7VYYVLF0AX,135,10,6,0.3,469,45,0.644444444,1.28,5.756929638
A37EAIRGC50VZN,134,10,7,0.3,397,37,0.648648649,1.04,5.591939547
A2SLLV1I17REK,10,1,1,0.03,310,40,0.65,1.09,7.741935484
ANMV627610253,406,7,4,0.21,1016,46,0.652173913,1.26,2.716535433
A3OW4Y37UD3SML,130,10,7,0.24,565,49,0.653061224,1.4,5.203539823
A1HRH92NH49RX2,81,10,7,0.26,305,50,0.66,1.45,9.836065574
AWIJA22L1YW6N,103,10,3,0.24,479,50,0.66,1.34,6.263048017
A2D2MD5O79XHXY,85,5,3,0.11,183,18,0.666666667,0.47,5.901639344
AEDANPWFSD3KB,63,8,4,0.24,267,48,0.666666667,1.36,10.78651685
A3PY2P6JOXTOF1,135,10,8,0.22,445,40,0.675,1.02,5.393258427
A21XMG5KSWXX9M,70,10,9,0.3,298,50,0.68,1.39,10.06711409
A39DY43GBH49SJ,233,10,5,0.27,867,50,0.68,1.31,3.460207612
A10E4LHR5D2K1B,283,10,7,0.29,974,48,0.6875,1.29,2.95687885
A2U9UDH0HUYH3U,65,10,7,0.26,293,48,0.6875,1.33,9.829351536
ALWIVW72RVB5E,108,8,6,0.24,514,45,0.688888889,1.21,5.252918288
A1LJRHW7DSCHOW,59,9,5,0.2,297,49,0.693877551,1.32,9.898989899
A26KOGQVJXSXER,97,10,6,0.32,548,49,0.693877551,1.36,5.364963504
A2NZLQZOFDE6EK,116,10,9,0.22,353,49,0.693877551,1.22,8.328611898
A3MF5GN0AFDWGN,175,10,9,0.28,642,49,0.693877551,1.29,4.579439252
A2H557RQ3T3LPX,174,10,7,0.29,174,10,0.7,0.29,3.448275862
A2XMKA4PI5O0C,196,10,7,0.22,196,10,0.7,0.22,3.06122449
A2YMPGADK5MEP0,91,10,7,0.27,91,10,0.7,0.27,6.593406593
A3FIN4CUQQ8RN7,97,10,7,0.28,594,50,0.7,1.26,5.050505051
A3MG1TXKB2V3V7,95,10,7,0.24,95,10,0.7,0.24,6.315789474
AB4SWSQGKADYJ,59,10,8,0.3,312,50,0.7,1.33,9.615384615
A3SVVZOT628LE8,78,6,5,0.17,337,44,0.704545455,1.15,7.833827893
A1ZNHWL3R1SHBC,17,2,2,0.05,95,17,0.705882353,0.49,10.73684211
A46M35FVJ5YDS,95,9,6,0.28,322,48,0.708333333,1.34,8.944099379
A20ETN0FA897XC,180,9,7,0.25,589,45,0.711111111,1.22,4.584040747
A1V3KOQXC2MUJ6,82,10,8,0.26,469,49,0.714285714,1.33,6.268656716
A3O5G4PAUHAVOI,83,10,6,0.33,462,49,0.714285714,1.32,6.363636364
A5JVR3MIY6ZU7,62,7,5,0.2,313,49,0.714285714,1.36,9.392971246
AR73R3ZQI14UA,63,9,5,0.27,334,49,0.714285714,1.29,8.80239521
AZSIQOEHMFQ4J,38,10,9,0.3,250,49,0.714285714,1.35,11.76
A3FH8K3XZJADMY,189,8,6,0.2,761,46,0.717391304,1.17,3.626806833
A17YHLSRIOLN3R,101,10,8,0.31,450,50,0.72,1.43,6.666666667
A1Q89Q9URVARUG,125,10,8,0.29,457,50,0.72,1.39,6.564551422
A1VU3AAUHYB1B3,93,10,8,0.26,364,50,0.72,1.43,8.241758242
A1XQID5VRCNP42,142,10,6,0.26,393,50,0.72,1.38,7.633587786
A25Q9MNP4M7THO,84,10,9,0.3,295,50,0.72,1.38,10.16949153
A262EK9JW5FTK4,82,10,8,0.22,519,50,0.72,1.2,5.780346821
A3EUES1SETEUS6,62,10,6,0.21,279,50,0.72,1.29,10.75268817
A3L2MMZBG6DHYS,112,6,2,0.15,595,50,0.72,1.41,5.042016807
AHLY43ZD9BNAF,113,10,7,0.27,349,50,0.72,1.25,8.595988539
A1SE0JWWA7WH5L,206,10,8,0.31,571,47,0.723404255,1.27,4.938704028
AQSK1671FL496,86,10,9,0.26,397,48,0.729166667,1.23,7.25440806
A1HYBTBCRYOOYQ,94,9,8,0.21,448,49,0.734693878,1.29,6.5625
A26T17KHYA5S3S,10,1,1,0.04,122,19,0.736842105,0.48,9.344262295
A3KT02CXO9T6Z8,144,10,7,0.33,419,50,0.74,1.34,7.159904535
A3USIJJCFXMG33,52,10,6,0.21,231,50,0.74,1.23,12.98701299
