worker_id,session_duration,tasks_completed_session,quality_session,total_reward,
AYZ10DNMOH3GG,72,10,0.7,0.28,8.333333333
A1IHUEZVS632K5,75,10,0.6,0.25,8
A2O97UY43FFEII,84,10,0.8,0.29,7.142857143
AUGN7P7HPWY1H,106,10,0.5,0.28,5.660377358
A2H557RQ3T3LPX,146,8,0.625,0.2,3.287671233
A2YMPGADK5MEP0,146,10,0.5,0.26,4.109589041
A2AUD0EEYGAWKH,162,14,0.714285714,0.35,5.185185185
A1OS7VYYVLF0AX,192,10,0.5,0.24,3.125
AEDANPWFSD3KB,195,50,0.82,1.26,15.38461538
A3813SWFH1OWNO,198,49,0.612244898,1.38,14.84848485
A11NAAM1V7WAWE,204,28,0.642857143,0.81,8.235294118
A1XQID5VRCNP42,232,50,0.8,1.38,12.93103448
A26T17KHYA5S3S,233,35,0.542857143,1.01,9.012875536
AB4SWSQGKADYJ,240,50,0.64,1.37,12.5
A32A1D3VE1IQKS,246,48,0.791666667,1.33,11.70731707
A3FPBA6Z1ZBVZE,248,50,0.66,1.41,12.09677419
A25Q9MNP4M7THO,250,49,0.632653061,1.33,11.76
A2MP227F412SIR,255,49,0.551020408,1.36,11.52941176
A30MVTZP96EHL4,259,48,0.645833333,1.4,11.11969112
A3O5G4PAUHAVOI,262,48,0.645833333,1.34,10.99236641
A1NO6ZM4D7A6AB,275,50,0.7,1.3,10.90909091
A3USIJJCFXMG33,289,50,0.68,1.27,10.38062284
AZSIQOEHMFQ4J,300,50,0.78,1.28,10
A3U4UPZA3DRONW,301,20,0.6,0.57,3.986710963
AHFWMHXRTGDK9,302,50,0.58,1.36,9.933774834
A3KT02CXO9T6Z8,303,50,0.68,1.43,9.900990099
A46M35FVJ5YDS,304,49,0.755102041,1.37,9.671052632
A1LQQ7UQKJYITI,306,48,0.666666667,1.27,9.411764706
A1HRH92NH49RX2,307,50,0.76,1.21,9.771986971
A1NCIKNP38QAK6,313,49,0.734693878,1.32,9.392971246
A1HYBTBCRYOOYQ,317,49,0.714285714,1.4,9.27444795
A1SE0JWWA7WH5L,317,50,0.66,1.42,9.463722397
A262EK9JW5FTK4,318,50,0.68,1.44,9.433962264
A16V6AFM78H6HU,319,25,0.76,0.75,4.702194357
A1VU3AAUHYB1B3,323,50,0.88,1.24,9.287925697
A17YHLSRIOLN3R,324,50,0.82,1.37,9.259259259
A2BCYSJDAAQ3XA,324,48,0.729166667,1.29,8.888888889
A1ZNHWL3R1SHBC,326,49,0.775510204,1.33,9.018404908
A2VB559SBL3KKB,330,46,0.630434783,1.34,8.363636364
A29PKMLH38N148,338,49,0.693877551,1.37,8.698224852
A23O1087TEPUI7,339,46,0.47826087,1.15,8.14159292
A34YB581F2C46K,341,47,0.638297872,1.33,8.269794721
A4C4JPLX3M246,342,29,0.689655172,0.86,5.087719298
A33R99HE75VFE3,347,50,0.72,1.4,8.645533141
ALWIVW72RVB5E,350,43,0.697674419,1.09,7.371428571
AQSK1671FL496,357,49,0.755102041,1.27,8.235294118
A3IXM7AROZIX0H,358,50,0.74,1.29,8.379888268
A19QMK6Z98GB7R,365,47,0.829787234,1.23,7.726027397
