worker_id,window_duration,tasks_completed,correct_tasks,partial_reward,session_duration,tasks_completed_session,quality_session,total_reward
A17YHLSRIOLN3R,96.0,10,7.0,0.27,,,,
A17YHLSRIOLN3R,91.0,10,5.0,0.27,,,,
A17YHLSRIOLN3R,63.0,10,5.0,0.27,,,,
A17YHLSRIOLN3R,65.0,10,8.0,0.27,,,,
A17YHLSRIOLN3R,64.0,10,6.0,0.27,,,,
A19QMK6Z98GB7R,85.0,10,8.0,0.27,,,,
A19QMK6Z98GB7R,68.0,9,7.0,0.23,,,,
A19QMK6Z98GB7R,77.0,10,8.0,0.27,,,,
A19QMK6Z98GB7R,70.0,10,9.0,0.27,,,,
A19QMK6Z98GB7R,72.0,10,8.0,0.27,,,,
A1FUQZSFQ2ENEF,434.0,10,4.0,0.27,,,,
A1FUQZSFQ2ENEF,177.0,9,8.0,0.24,,,,
A1FUQZSFQ2ENEF,174.0,10,6.0,0.27,,,,
A1FUQZSFQ2ENEF,178.0,9,5.0,0.26,,,,
A1FUQZSFQ2ENEF,203.0,10,7.0,0.27,,,,
A1HRH92NH49RX2,111.0,9,8.0,0.25,,,,
A1HRH92NH49RX2,49.0,10,9.0,0.27,,,,
A1HRH92NH49RX2,51.0,10,8.0,0.27,,,,
A1HRH92NH49RX2,50.0,10,8.0,0.27,,,,
A1HRH92NH49RX2,49.0,10,6.0,0.27,,,,
A1HYBTBCRYOOYQ,55.0,10,8.0,0.27,,,,
A1HYBTBCRYOOYQ,64.0,10,8.0,0.27,,,,
A1HYBTBCRYOOYQ,48.0,10,7.0,0.27,,,,
A1HYBTBCRYOOYQ,61.0,10,8.0,0.27,,,,
A1HYBTBCRYOOYQ,87.0,10,8.0,0.27,,,,
A1IHUEZVS632K5,106.0,10,5.0,0.27,,,,
A1IHUEZVS632K5,,,,,,,,
A1IHUEZVS632K5,,,,,,,,
A1IHUEZVS632K5,,,,,,,,
A1IHUEZVS632K5,,,,,,,,
A1LJRHW7DSCHOW,60.0,10,8.0,0.27,,,,
A1LJRHW7DSCHOW,52.0,10,7.0,0.27,,,,
A1LJRHW7DSCHOW,41.0,10,6.0,0.27,,,,
A1LJRHW7DSCHOW,42.0,10,7.0,0.27,,,,
A1LJRHW7DSCHOW,42.0,10,7.0,0.27,,,,
A1LQQ7UQKJYITI,50.0,10,5.0,0.27,,,,
A1LQQ7UQKJYITI,36.0,10,8.0,0.27,,,,
A1LQQ7UQKJYITI,38.0,10,4.0,0.27,,,,
A1LQQ7UQKJYITI,35.0,10,7.0,0.27,,,,
A1LQQ7UQKJYITI,46.0,10,7.0,0.27,,,,
A1NCIKNP38QAK6,83.0,10,7.0,0.27,,,,
A1NCIKNP38QAK6,54.0,10,8.0,0.27,,,,
A1NCIKNP38QAK6,62.0,10,8.0,0.27,,,,
A1NCIKNP38QAK6,58.0,10,9.0,0.27,,,,
A1NCIKNP38QAK6,60.0,10,6.0,0.27,,,,
A1NO6ZM4D7A6AB,10.0,1,1.0,0.02,,,,
A1NO6ZM4D7A6AB,,,,,,,,
A1NO6ZM4D7A6AB,,,,,,,,
A1NO6ZM4D7A6AB,,,,,,,,
A1NO6ZM4D7A6AB,,,,,,,,
A1OS7VYYVLF0AX,64.0,8,5.0,0.21,,,,
A1OS7VYYVLF0AX,35.0,5,5.0,0.13,,,,
A1OS7VYYVLF0AX,16.0,4,2.0,0.12,,,,
A1OS7VYYVLF0AX,54.0,7,7.0,0.18,,,,
A1OS7VYYVLF0AX,78.0,10,6.0,0.27,,,,
A1Q89Q9URVARUG,108.0,10,8.0,0.27,,,,
A1Q89Q9URVARUG,68.0,10,4.0,0.27,,,,
A1Q89Q9URVARUG,167.0,10,9.0,0.27,,,,
A1Q89Q9URVARUG,68.0,10,5.0,0.27,,,,
A1Q89Q9URVARUG,63.0,10,9.0,0.27,,,,
A1SE0JWWA7WH5L,125.0,10,9.0,0.27,,,,
A1SE0JWWA7WH5L,89.0,10,6.0,0.27,,,,
A1SE0JWWA7WH5L,63.0,10,7.0,0.27,,,,
A1SE0JWWA7WH5L,69.0,10,9.0,0.27,,,,
A1SE0JWWA7WH5L,75.0,10,9.0,0.27,,,,
A1UGBF713D1AGZ,96.0,10,6.0,0.27,,,,
A1UGBF713D1AGZ,55.0,10,8.0,0.27,,,,
A1UGBF713D1AGZ,88.0,10,6.0,0.27,,,,
A1UGBF713D1AGZ,66.0,10,5.0,0.27,,,,
A1UGBF713D1AGZ,97.0,10,8.0,0.27,,,,
A1V3KOQXC2MUJ6,98.0,10,7.0,0.27,,,,
A1V3KOQXC2MUJ6,97.0,10,8.0,0.27,,,,
A1V3KOQXC2MUJ6,104.0,10,7.0,0.27,,,,
A1V3KOQXC2MUJ6,93.0,9,8.0,0.24,,,,
A1V3KOQXC2MUJ6,79.0,10,7.0,0.27,,,,
A1VU3AAUHYB1B3,120.0,10,7.0,0.27,,,,
A1VU3AAUHYB1B3,60.0,10,8.0,0.27,,,,
A1VU3AAUHYB1B3,75.0,10,7.0,0.27,,,,
A1VU3AAUHYB1B3,87.0,9,7.0,0.25,,,,
A1VU3AAUHYB1B3,65.0,10,6.0,0.27,,,,
A21XMG5KSWXX9M,70.0,9,5.0,0.24,,,,
A21XMG5KSWXX9M,82.0,9,8.0,0.24,,,,
A21XMG5KSWXX9M,55.0,10,5.0,0.27,,,,
A21XMG5KSWXX9M,57.0,10,7.0,0.27,,,,
A21XMG5KSWXX9M,54.0,10,7.0,0.27,,,,
A2343T22LV1V17,16.0,2,1.0,0.05,,,,
A2343T22LV1V17,0.0,1,0.0,0.03,,,,
A2343T22LV1V17,6.0,2,2.0,0.05,,,,
A2343T22LV1V17,5.0,2,0.0,0.05,,,,
A2343T22LV1V17,4.0,2,2.0,0.05,,,,
A25Q9MNP4M7THO,122.0,8,6.0,0.23,,,,
A25Q9MNP4M7THO,65.0,6,5.0,0.15,,,,
A25Q9MNP4M7THO,86.0,8,5.0,0.2,,,,
A25Q9MNP4M7THO,62.0,10,8.0,0.27,,,,
A25Q9MNP4M7THO,51.0,10,8.0,0.27,,,,
A262EK9JW5FTK4,65.0,10,9.0,0.27,,,,
A262EK9JW5FTK4,74.0,10,6.0,0.27,,,,
A262EK9JW5FTK4,88.0,10,8.0,0.27,,,,
A262EK9JW5FTK4,65.0,10,10.0,0.27,,,,
A262EK9JW5FTK4,82.0,10,8.0,0.27,,,,
A26T17KHYA5S3S,10.0,1,1.0,0.03,,,,
A26T17KHYA5S3S,,,,,,,,
A26T17KHYA5S3S,,,,,,,,
A26T17KHYA5S3S,,,,,,,,
A26T17KHYA5S3S,,,,,,,,
A29PKMLH38N148,77.0,10,6.0,0.27,,,,
A29PKMLH38N148,64.0,10,4.0,0.27,,,,
A29PKMLH38N148,68.0,10,6.0,0.27,,,,
A29PKMLH38N148,54.0,10,8.0,0.27,,,,
A29PKMLH38N148,57.0,10,9.0,0.27,,,,
A2AUD0EEYGAWKH,110.0,10,8.0,0.27,,,,
A2AUD0EEYGAWKH,158.0,8,3.0,0.24,,,,
A2AUD0EEYGAWKH,161.0,10,6.0,0.27,,,,
A2AUD0EEYGAWKH,154.0,10,8.0,0.27,,,,
A2AUD0EEYGAWKH,106.0,10,6.0,0.27,,,,
A2BCYSJDAAQ3XA,66.0,10,6.0,0.27,,,,
A2BCYSJDAAQ3XA,54.0,10,7.0,0.27,,,,
A2BCYSJDAAQ3XA,89.0,10,8.0,0.27,,,,
A2BCYSJDAAQ3XA,45.0,10,6.0,0.27,,,,
A2BCYSJDAAQ3XA,48.0,10,6.0,0.27,,,,
A2D2MD5O79XHXY,169.0,10,6.0,0.27,,,,
A2D2MD5O79XHXY,80.0,10,6.0,0.27,,,,
