"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Answer.task-set-eval","Answer.task-set-rating","Approve","Reject"
"3VIVIU06FMNSOGOEMSLG6YXOALWMIA","3IP45TONNI8XSIUTMJHDLVPKRVA8I7","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.25","Tue Feb 11 00:07:53 PST 2020","105","BatchId:3917220;OriginalHitTemplateId:928390828;","3600","345600","Tue Feb 18 15:59:59 PST 2020","","","308Q0PEVBBOG3G2DNLMDQVNQVQDI9Z","A2YMPGADK5MEP0","Approved","Wed Feb 12 12:07:17 PST 2020","Wed Feb 12 12:10:56 PST 2020","Sun Feb 16 12:10:56 PST 2020","Sun Feb 16 12:11:14 PST 2020","","","219","100% (7/7)","100% (7/7)","0% (0/0)","oZkpSOv32C","challenging","5"
"3VIVIU06FMNSOGOEMSLG6YXOALWMIA","3IP45TONNI8XSIUTMJHDLVPKRVA8I7","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.25","Tue Feb 11 00:07:53 PST 2020","105","BatchId:3917220;OriginalHitTemplateId:928390828;","3600","345600","Tue Feb 18 15:59:59 PST 2020","","","30BXRYBRP78RJH41AEEK43UMTTAHWG","A3MC4FJOC2UVYJ","Approved","Sat Feb 15 07:44:44 PST 2020","Sat Feb 15 07:57:06 PST 2020","Wed Feb 19 07:57:06 PST 2020","Wed Feb 19 07:57:14 PST 2020","","","742","100% (5/5)","100% (5/5)","100% (3/3)","0oUYd35oXV","challenging","5"
"3VIVIU06FMNSOGOEMSLG6YXOALWMIA","3IP45TONNI8XSIUTMJHDLVPKRVA8I7","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.25","Tue Feb 11 00:07:53 PST 2020","105","BatchId:3917220;OriginalHitTemplateId:928390828;","3600","345600","Tue Feb 18 15:59:59 PST 2020","","","30JNVC0ORCVMZK8FY5FECEC059AQH0","AHFWMHXRTGDK9","Approved","Tue Feb 11 15:39:49 PST 2020","Tue Feb 11 15:45:36 PST 2020","Sat Feb 15 15:45:36 PST 2020","Sat Feb 15 15:45:46 PST 2020","","","347","100% (7/7)","100% (7/7)","0% (0/0)","t7NF1qlCKp","easy","4"
"3VIVIU06FMNSOGOEMSLG6YXOALWMIA","3IP45TONNI8XSIUTMJHDLVPKRVA8I7","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.25","Tue Feb 11 00:07:53 PST 2020","105","BatchId:3917220;OriginalHitTemplateId:928390828;","3600","345600","Tue Feb 18 15:59:59 PST 2020","","","3137ONMDKJGJ2LNZ582WXXBL63QEGN","A1LQQ7UQKJYITI","Approved","Tue Feb 11 09:26:09 PST 2020","Tue Feb 11 09:32:25 PST 2020","Sat Feb 15 09:32:25 PST 2020","Sat Feb 15 09:32:46 PST 2020","","","376","100% (7/7)","100% (7/7)","0% (0/0)","d2txT8TBIJ","diverse","4"
"3VIVIU06FMNSOGOEMSLG6YXOALWMIA","3IP45TONNI8XSIUTMJHDLVPKRVA8I7","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.25","Tue Feb 11 00:07:53 PST 2020","105","BatchId:3917220;OriginalHitTemplateId:928390828;","3600","345600","Tue Feb 18 15:59:59 PST 2020","","","31HQ4X3T3VL0YW6IHUJHZ6K83AYSLJ","A19QMK6Z98GB7R","Approved","Tue Feb 11 05:48:34 PST 2020","Tue Feb 11 05:55:17 PST 2020","Sat Feb 15 05:55:17 PST 2020","Sat Feb 15 05:55:46 PST 2020","","","403","100% (7/7)","100% (7/7)","0% (0/0)","7UOtzhaPMC","diverse","4"
"3VIVIU06FMNSOGOEMSLG6YXOALWMIA","3IP45TONNI8XSIUTMJHDLVPKRVA8I7","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.25","Tue Feb 11 00:07:53 PST 2020","105","BatchId:3917220;OriginalHitTemplateId:928390828;","3600","345600","Tue Feb 18 15:59:59 PST 2020","","","31N2WW6R9U1AENB754FIWL7CFJA3F1","A34YB581F2C46K","Approved","Fri Feb 14 21:58:49 PST 2020","Fri Feb 14 22:05:21 PST 2020","Tue Feb 18 22:05:21 PST 2020","Tue Feb 18 22:06:14 PST 2020","","","392","100% (5/5)","100% (5/5)","100% (2/2)","ElaB1TgkDl","challenging|diverse","4"
"3VIVIU06FMNSOGOEMSLG6YXOALWMIA","3IP45TONNI8XSIUTMJHDLVPKRVA8I7","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.25","Tue Feb 11 00:07:53 PST 2020","105","BatchId:3917220;OriginalHitTemplateId:928390828;","3600","345600","Tue Feb 18 15:59:59 PST 2020","","","31QNSG6A5U4J0R27Z2C2ZA26WWG78J","A2MP227F412SIR","Approved","Tue Feb 11 04:24:28 PST 2020","Tue Feb 11 04:29:07 PST 2020","Sat Feb 15 04:29:07 PST 2020","Sat Feb 15 04:29:46 PST 2020","","","279","100% (7/7)","100% (7/7)","0% (0/0)","XYSG3NX57y","easy|similar","4"
"3VIVIU06FMNSOGOEMSLG6YXOALWMIA","3IP45TONNI8XSIUTMJHDLVPKRVA8I7","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.25","Tue Feb 11 00:07:53 PST 2020","105","BatchId:3917220;OriginalHitTemplateId:928390828;","3600","345600","Tue Feb 18 15:59:59 PST 2020","","","324G5B4FB6J1I2X44YZN6VWODZI075","AIFRN9GF0Q1ZI","Approved","Tue Feb 11 06:57:40 PST 2020","Tue Feb 11 07:37:00 PST 2020","Sat Feb 15 07:37:00 PST 2020","Sat Feb 15 07:37:46 PST 2020","","","2360","100% (6/6)","100% (6/6)","0% (0/0)","xRFXv1aOXX","easy|similar","5"
"3VIVIU06FMNSOGOEMSLG6YXOALWMIA","3IP45TONNI8XSIUTMJHDLVPKRVA8I7","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.25","Tue Feb 11 00:07:53 PST 2020","105","BatchId:3917220;OriginalHitTemplateId:928390828;","3600","345600","Tue Feb 18 15:59:59 PST 2020","","","326O153BML9GQ1D83I1ORC8OU3CDEZ","A10E4LHR5D2K1B","Approved","Mon Feb 17 08:28:05 PST 2020","Mon Feb 17 08:38:52 PST 2020","Fri Feb 21 08:38:52 PST 2020","Fri Feb 21 08:39:14 PST 2020","","","647","100% (6/6)","100% (6/6)","100% (4/4)","pkf18MMN1L","diverse","5"
"3VIVIU06FMNSOGOEMSLG6YXOALWMIA","3IP45TONNI8XSIUTMJHDLVPKRVA8I7","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.25","Tue Feb 11 00:07:53 PST 2020","105","BatchId:3917220;OriginalHitTemplateId:928390828;","3600","345600","Tue Feb 18 15:59:59 PST 2020","","","326O153BML9GQ1D83I1ORC8OU4XDEM","A2TBEXK0NIDWEC","Approved","Mon Feb 17 10:57:26 PST 2020","Mon Feb 17 11:08:54 PST 2020","Fri Feb 21 11:08:54 PST 2020","Fri Feb 21 11:09:14 PST 2020","","","688","100% (6/6)","100% (6/6)","100% (5/5)","wVxzGNnORL","diverse","5"
