WorkerId,Answer.task-set-rating
A4C4JPLX3M246,4
AYZ10DNMOH3GG,4
A19QMK6Z98GB7R,3
A1G6FOCQ4G967A,5
A2NWJYV01PP63C,5
A1VU3AAUHYB1B3,2
A2BCYSJDAAQ3XA,5
A1H02T7P69OQ7F,5
A2D2MD5O79XHXY,4
AV8JH6BU0LTCR,5
AWIJA22L1YW6N,3
A262EK9JW5FTK4,3
A2XMKA4PI5O0C,5
A30MVTZP96EHL4,2
A3C7Z9ALUTSXHX,4
A1SE0JWWA7WH5L,3
A1LQQ7UQKJYITI,4
A2VB559SBL3KKB,5
A3OW4Y37UD3SML,3
A3USIJJCFXMG33,5
AR73R3ZQI14UA,4
A114PW6DJ5SEMR,3
A2343T22LV1V17,5
ADVLWU71PC7Q6,5
A2KUEMZHTK9724,3
A1SW2B761CAR48,4
AHPW5R1OVKV1X,5
AUGN7P7HPWY1H,4
A2SSPAENTZA7YH,5
A2H557RQ3T3LPX,5
AX9LH5UKXP452,4
A10E4LHR5D2K1B,5
AHLY43ZD9BNAF,5
A25Q9MNP4M7THO,3
AWGOTRBZPJYWN,2
A354YHGCCVW4N5,4
AHFWMHXRTGDK9,4
A1OS7VYYVLF0AX,5
A3TVJTQUSMF8NI,3
A1HRH92NH49RX2,4
AEDANPWFSD3KB,3
A35UWK03FDJ4KV,5
AVEUV5HGMBAQA,4
A33R99HE75VFE3,5
A2YMPGADK5MEP0,5
A1XQID5VRCNP42,4
APEV5E6TCEOGQ,5
A3C59JM3AR7MTI,3
A2Z65E2WBVVA2N,5
A21XMG5KSWXX9M,5
A2MP227F412SIR,5
A1IHUEZVS632K5,5
AE5DFKX78LO7P,5
A3FIN4CUQQ8RN7,5
A29PKMLH38N148,2
A3IXM7AROZIX0H,5
A2XHC6ZH4KNZKV,5
A1V3KOQXC2MUJ6,5
A1FUQZSFQ2ENEF,4
A31B5EMKFE9J59,5
ANMV627610253,5
A3MF5GN0AFDWGN,4
A3MG1TXKB2V3V7,5
A1KU5FEHBXTRHC,5
A2ACM7E2DF0FBY,4
A17YHLSRIOLN3R,4
A2B7M6DUEI4WGX,5
A26KOGQVJXSXER,3
A3EUES1SETEUS6,4
A2TBEXK0NIDWEC,5
A2OF6YMR4AJDM9,3
A39DY43GBH49SJ,4
A3KT02CXO9T6Z8,5
A1NCIKNP38QAK6,4
A27NJGBC0ZDZQW,3
A7QWSL1MOFVO7,4
A1ZNHWL3R1SHBC,3
A20ETN0FA897XC,3
A10MYO8NA13VEZ,3
AIFRN9GF0Q1ZI,5
A3IT7C62W5QCYD,3
A1NO6ZM4D7A6AB,3
A2GVB5SDUBN6GY,5
AB4SWSQGKADYJ,5
A2QX7M306Z6ZJ7,4
AQSK1671FL496,4
A7GYCZ27UHKWX,4
A1Q89Q9URVARUG,5
A3O5G4PAUHAVOI,5
A33Z2X2GR192YL,5
A26T17KHYA5S3S,3
A32A1D3VE1IQKS,3
A5JVR3MIY6ZU7,3
A3MC4FJOC2UVYJ,5
A2U9UDH0HUYH3U,4
ALWIVW72RVB5E,5
A2G2S14YIRXEKP,4
AZSIQOEHMFQ4J,4
ATJYRPD1X80EY,5
A1UGBF713D1AGZ,5
A3Q84IRO57KUVU,4
A3813SWFH1OWNO,5
AMK5G3916QF5N,5
A28WCJD7SBQX3M,4
AWIG92ISYM93N,5
A3325LLTO594TG,5
A3FPBA6Z1ZBVZE,3
