worker_id,window_duration,tasks_completed,correct_tasks,partial_reward,session_duration,tasks_completed_session,quality_session,total_reward,throughput
A10QCFQMBPB6IB,32,3,1,0.125,113,9,0.777777778,0.33,4.778761062
A10QCFQMBPB6IB,53,3,3,0.065,,,,,
A10QCFQMBPB6IB,28,3,3,0.14,,,,,
A10QCFQMBPB6IB,,,,,,,,,
A10QCFQMBPB6IB,,,,,,,,,
A122PMN7S5SU33,46,3,2,0.1,139,6,0.5,0.17,2.589928058
A122PMN7S5SU33,93,3,1,0.07,,,,,
A122PMN7S5SU33,,,,,,,,,
A122PMN7S5SU33,,,,,,,,,
A122PMN7S5SU33,,,,,,,,,
A12M78R4SVDCV7,46,3,3,0.08,86,7,0.714285714,0.22,4.88372093
A12M78R4SVDCV7,33,2,1,0.08,,,,,
A12M78R4SVDCV7,7,2,1,0.06,,,,,
A12M78R4SVDCV7,,,,,,,,,
A12M78R4SVDCV7,,,,,,,,,
A12W7ZB2DLBBY5,55,3,3,0.09,132,9,0.888888889,0.29,4.090909091
A12W7ZB2DLBBY5,63,3,2,0.12,,,,,
A12W7ZB2DLBBY5,14,3,3,0.08,,,,,
A12W7ZB2DLBBY5,,,,,,,,,
A12W7ZB2DLBBY5,,,,,,,,,
A14BSOU2Y5JNT0,10,1,0,0.025,40,4,0.25,0.13,6
A14BSOU2Y5JNT0,0,1,0,0.05,,,,,
A14BSOU2Y5JNT0,30,2,1,0.055,,,,,
A14BSOU2Y5JNT0,,,,,,,,,
A14BSOU2Y5JNT0,,,,,,,,,
A14JC769A8FXN1,52,3,1,0.13,138,9,0.444444444,0.335,3.913043478
A14JC769A8FXN1,38,3,3,0.075,,,,,
A14JC769A8FXN1,48,3,0,0.13,,,,,
A14JC769A8FXN1,,,,,,,,,
A14JC769A8FXN1,,,,,,,,,
A14JGIN4ZXXLGD,37,2,2,0.09,101,7,1,0.25,4.158415842
A14JGIN4ZXXLGD,41,2,2,0.05,,,,,
