worker_id,session_duration,tasks_completed_session,quality_session,total_reward,throughput,HIT Rating
A10QCFQMBPB6IB,75,8,0.875,0.29,6.4,5
A122PMN7S5SU33,248,8,0.625,0.245,1.935483871,4
A12M78R4SVDCV7,78,8,0.75,0.22,6.153846154,4
A12W7ZB2DLBBY5,73,9,0.333333333,0.28,7.397260274,5
A14BSOU2Y5JNT0,149,9,0.555555556,0.32,3.624161074,4
A14JC769A8FXN1,108,9,1,0.35,5,5
A14JGIN4ZXXLGD,125,9,0.555555556,0.325,4.32,3
A171NRH2G227NA,10,1,1,0.02,6,4
A17MKHO0INIV0D,81,9,0.555555556,0.26,6.666666667,3
A1A3S0HSZZGZ43,80,9,0.666666667,0.3,6.75,5
A1AYYEZDTP7VL,267,6,0.833333333,0.22,1.348314607,4
A1BMJX36PG4EMH,52,8,0.625,0.28,9.230769231,5
A1CZ2GB5LZ9O5H,75,6,0.333333333,0.22,4.8,3
A1EJ0659YRDUOR,84,9,0.777777778,0.3,6.428571429,5
A1EK0G6HYJ60O1,66,7,0.714285714,0.205,6.363636364,4
A1H0QGA8A42RDD,98,9,0.555555556,0.35,5.510204082,4
A1I23EV4D72JBL,172,8,1,0.265,2.790697674,5
A1IH7F19OWLD3A,77,8,0.375,0.24,6.233766234,5
A1KBDN6C1Q0D4U,62,9,0.666666667,0.275,8.709677419,5
A1LUWOV426JV1N,50,6,1,0.165,7.2,4
A1M6A01CROTF3K,49,8,0.625,0.255,9.795918367,4
A1NYHBSW9EIQX9,96,9,0.888888889,0.315,5.625,5
A1OSESE6RG3NFB,48,9,0.666666667,0.245,11.25,5
A1OSYT1HAG3ZQM,46,3,0.666666667,0.075,3.913043478,5
A1OWHPMKE7YAGL,61,9,0.666666667,0.23,8.852459016,5
A1QC6WNXRWWPCC,62,7,0.571428571,0.2,6.774193548,5
A1QGQCC33OBPKM,138,9,1,0.285,3.913043478,4
A1VA5PON4OHGYA,115,7,0.714285714,0.175,3.652173913,4
A1XLQVD1R2V8CL,19,3,0.333333333,0.1,9.473684211,5
A1YJZESXJDG0XM,89,8,0.75,0.25,5.393258427,5
A1YTKIM7NU5MGV,145,8,0.75,0.22,3.310344828,3
A1ZQU2A5A8EIHL,90,7,0.571428571,0.21,4.666666667,5
A21U899S9P4XSC,10,1,0,0.02,6,3
A23FMK3IDMUAXQ,64,9,0.888888889,0.34,8.4375,4
A247TCDIBB07JC,61,9,0.888888889,0.265,8.852459016,3
A24A03BCD4TKWL,62,9,0.777777778,0.26,8.709677419,5
A24JNJIJ6SKKVZ,128,9,0.444444444,0.315,4.21875,5
A25VNYKP7SASYC,59,8,0.75,0.235,8.13559322,5
A267H808C339ZQ,63,7,0.571428571,0.21,6.666666667,5
A27TYK7FQNPG8J,75,9,0.777777778,0.25,7.2,5
A2880Y23V0UITQ,80,9,0.444444444,0.215,6.75,4
A28JGET2XTPRG5,106,9,0.666666667,0.26,5.094339623,4
A2AI4HOWRCG7KZ,56,9,0.888888889,0.245,9.642857143,5
A2AJIKFMHK85XN,10,1,0,0.04,6,5
A2APG8MSLJ6G2K,134,9,0.444444444,0.27,4.029850746,4
A2C8QIT0DJRCHN,324,9,0.444444444,0.325,1.666666667,4
A2CAMPAA7650H2,10,1,1,0.02,6,4
A2DQ9P2NT6QN0U,78,9,0.555555556,0.295,6.923076923,5
A2HG1N3BVQO6I,25,3,1,0.09,7.2,5
A2HJ05IDCIY01V,88,8,0.5,0.295,5.454545455,5
A2IQFNKKQ4VU1U,160,8,0.5,0.235,3,5
A2IRIBEI9NTIW8,35,7,1,0.175,12,4
A2J6S7QR4CGXTW,115,6,0.5,0.23,3.130434783,5
A2JZT1SP5F3PR1,87,8,0.625,0.255,5.517241379,5
A2K6GAHX04JMQJ,348,7,0.428571429,0.215,1.206896552,5
A2K9GHFRY094XA,69,8,0.625,0.255,6.956521739,5
A2N10QFJ8OCU2T,48,3,0.333333333,0.085,3.75,5
A2N962G55T9MOB,65,8,0.5,0.26,7.384615385,5
A2RLY2I4U06ETD,52,9,0.555555556,0.285,10.38461538,4
A2UVJMJV1EOH9X,20,4,0.5,0.135,12,5
A2VEUYSAOYJJDC,153,6,1,0.155,2.352941176,5
A2WP04RFZ9STGJ,51,6,0.666666667,0.125,7.058823529,5
A2YE2I9DYV9OKW,68,9,0.888888889,0.31,7.941176471,4
A304JFG8AJM7U6,67,9,0.666666667,0.35,8.059701493,4
A306XHZ4SSZN23,95,9,0.888888889,0.27,5.684210526,4
A30DEG9REA9V2N,210,9,0.555555556,0.28,2.571428571,3
A31EUQA8YR9SPI,144,8,0.875,0.24,3.333333333,4
A333JTLOVOOWS,104,7,0.571428571,0.18,4.038461538,3
A334GA484JTNIM,118,9,0.555555556,0.32,4.576271186,5
A33LPSMA0N618I,126,9,0.777777778,0.325,4.285714286,4
A356EVHB3TU90R,62,9,0.777777778,0.285,8.709677419,5
A35IT4GHURUWK7,114,9,0.555555556,0.29,4.736842105,5
A37O5SYY9VWSPY,68,9,0.333333333,0.33,7.941176471,5
A38CJGMJRTWE87,136,8,0.5,0.22,3.529411765,3
A3AYHESLQSDY5T,44,7,0.571428571,0.18,9.545454545,5
A3B84NGQT7Z9WE,87,6,0.833333333,0.175,4.137931034,5
A3BJZIRRQVSOT7,164,9,0.555555556,0.25,3.292682927,4
A3DTPGXKABAFEJ,113,9,0.555555556,0.31,4.778761062,4
A3DZGDF9HCTAOB,588,9,0.666666667,0.3,0.918367347,5
A3E9N7HDRLT8KV,233,9,0.444444444,0.28,2.317596567,5
A3G5ZPURJ0XCBG,10,1,0,0.05,6,5
A3GTPW3MYSLMR7,60,9,0.777777778,0.305,9,5
A3HC8FUORPCNN1,77,6,0.666666667,0.175,4.675324675,2
A3HH7T31PFH49C,94,8,0.75,0.25,5.106382979,5
A3JNSAQ0BJ33ZM,33,3,0.333333333,0.13,5.454545455,2
A3P86OK72F8M99,40,8,0.875,0.25,12,5
A3QTW23DMB8PHI,31,5,0.8,0.175,9.677419355,5
A3RAL81XKTKNMS,35,6,0.833333333,0.185,10.28571429,4
A3SBNJPZS7E2AX,47,6,0.833333333,0.26,7.659574468,4
A3SLY0SJLJZ0J1,90,8,0.375,0.205,5.333333333,5
A3SWYPKNAPAQKI,86,9,0.555555556,0.255,6.279069767,5
A3UNKB1RRNN2FT,44,6,0.666666667,0.15,8.181818182,5
A3VLGVKJOHU58D,40,7,0.857142857,0.225,10.5,5
A5FUU339LEP25,62,9,0.444444444,0.33,8.709677419,4
A8289AEOKHKV4,56,7,0.857142857,0.21,7.5,5
A843DU1CYIR9Z,47,8,0.75,0.21,10.21276596,5
A9UBOMDU3AJYF,153,9,0.444444444,0.26,3.529411765,5
AAABU3NPTCTAR,154,9,0.555555556,0.24,3.506493506,5
AAXILKN9M4YW1,71,7,0.571428571,0.2,5.915492958,5
AI01TBF4CXKXI,98,9,0.666666667,0.25,5.510204082,5
AKLKDS34ZAGML,45,7,1,0.21,9.333333333,4
AL4A0AKTQGE4A,87,9,0.666666667,0.295,6.206896552,3
AMHZ8D856PO3F,273,8,0.75,0.26,1.758241758,4
AOEO9ZV81R0I4,81,9,0.666666667,0.28,6.666666667,5
AOGEGRPMKRKY,99,8,0.75,0.245,4.848484848,4
AOY5CF0UQUMO2,122,9,0.333333333,0.235,4.426229508,5
APF1EAZT104LQ,53,9,0.555555556,0.33,10.18867925,5
AS11VPZ1QAEQB,144,9,0.888888889,0.305,3.75,5
ASG1PXG3EUYN8,167,8,0.875,0.25,2.874251497,5
ASW8M4F98R3R6,192,9,0.777777778,0.245,2.8125,5
AXID3RPK6NZT6,57,8,0.625,0.27,8.421052632,3
AXKHNWMKGT751,185,8,0.5,0.28,2.594594595,5
AYDIZBR38B0TY,55,7,0.571428571,0.235,7.636363636,5
AYQ8YE6T9W8FB,124,8,0.5,0.32,3.870967742,5
AZI9VZ55E3TP2,210,8,0.625,0.255,2.285714286,4
