worker_id,session_duration,tasks_completed_session,quality_session,total_reward,throughput,Answer.task-set-rating
A10QCFQMBPB6IB,70,9,0.777777778,0.27,7.714285714,5
A122PMN7S5SU33,64,5,0.8,0.15,4.6875,3
A12M78R4SVDCV7,69,6,0.833333333,0.18,5.217391304,5
A12W7ZB2DLBBY5,123,7,0.428571429,0.21,3.414634146,5
A14BSOU2Y5JNT0,75,9,0.777777778,0.27,7.2,4
A14JC769A8FXN1,123,9,0.666666667,0.27,4.390243902,5
A14JGIN4ZXXLGD,72,9,0.777777778,0.27,7.5,5
A171NRH2G227NA,80,9,0.777777778,0.27,6.75,5
A17MKHO0INIV0D,92,9,0.666666667,0.27,5.869565217,5
A1A3S0HSZZGZ43,23,6,0.833333333,0.18,15.65217391,5
A1AYYEZDTP7VL,10,1,1,0.03,6,4
A1BMJX36PG4EMH,54,9,0.555555556,0.27,10,5
A1CZ2GB5LZ9O5H,76,9,0.555555556,0.27,7.105263158,4
A1EJ0659YRDUOR,44,6,0.666666667,0.18,8.181818182,3
A1EK0G6HYJ60O1,61,7,0.714285714,0.21,6.885245902,4
A1H0QGA8A42RDD,65,8,0.625,0.24,7.384615385,4
A1I23EV4D72JBL,85,9,0.777777778,0.27,6.352941176,3
A1IH7F19OWLD3A,15,5,0.8,0.15,20,5
A1KBDN6C1Q0D4U,60,8,0.5,0.24,8,5
A1LUWOV426JV1N,67,9,0.666666667,0.27,8.059701493,3
A1M6A01CROTF3K,58,9,0.555555556,0.27,9.310344828,5
A1NYHBSW9EIQX9,94,9,0.555555556,0.27,5.744680851,2
A1OSESE6RG3NFB,74,9,0.666666667,0.27,7.297297297,3
A1OSYT1HAG3ZQM,45,3,0.666666667,0.09,4,5
A1OWHPMKE7YAGL,44,9,0.666666667,0.27,12.27272727,3
A1QC6WNXRWWPCC,67,9,0.444444444,0.27,8.059701493,4
A1QGQCC33OBPKM,105,8,0.5,0.24,4.571428571,3
A1VA5PON4OHGYA,127,9,0.888888889,0.27,4.251968504,3
A1XLQVD1R2V8CL,82,2,1,0.06,1.463414634,5
A1YJZESXJDG0XM,37,5,1,0.15,8.108108108,5
A1YTKIM7NU5MGV,97,8,0.625,0.24,4.948453608,3
A1ZQU2A5A8EIHL,103,9,0.555555556,0.27,5.242718447,5
A21U899S9P4XSC,95,8,0.25,0.24,5.052631579,4
A23FMK3IDMUAXQ,29,7,0.428571429,0.21,14.48275862,5
A247TCDIBB07JC,82,8,0.625,0.24,5.853658537,2
A24A03BCD4TKWL,44,7,0.714285714,0.21,9.545454545,5
A25VNYKP7SASYC,10,2,0.5,0.06,12,5
A267H808C339ZQ,176,9,0.777777778,0.27,3.068181818,5
A27TYK7FQNPG8J,94,9,0.555555556,0.27,5.744680851,5
A2880Y23V0UITQ,82,8,0.625,0.24,5.853658537,4
A28JGET2XTPRG5,67,4,0.75,0.12,3.582089552,4
A2AI4HOWRCG7KZ,67,9,0.555555556,0.27,8.059701493,5
A2AJIKFMHK85XN,10,1,0,0.03,6,5
A2APG8MSLJ6G2K,136,9,0.666666667,0.27,3.970588235,5
A2C8QIT0DJRCHN,78,9,0.444444444,0.27,6.923076923,5
A2CAMPAA7650H2,60,9,0.555555556,0.27,9,4
A2DQ9P2NT6QN0U,66,9,0.555555556,0.27,8.181818182,3
A2HG1N3BVQO6I,10,1,1,0.03,6,4
A2HJ05IDCIY01V,72,9,0.555555556,0.27,7.5,4
A2IQFNKKQ4VU1U,61,4,0.5,0.12,3.93442623,5
A2IRIBEI9NTIW8,81,9,0.555555556,0.27,6.666666667,4
A2J6S7QR4CGXTW,63,9,0.888888889,0.27,8.571428571,5
A2K6GAHX04JMQJ,114,9,0.666666667,0.27,4.736842105,4
A2K9GHFRY094XA,28,5,0.8,0.15,10.71428571,5
A2N10QFJ8OCU2T,28,3,0.333333333,0.09,6.428571429,5
A2N962G55T9MOB,38,9,0.666666667,0.27,14.21052632,5
A2RLY2I4U06ETD,53,9,0.666666667,0.27,10.18867925,3
A2UVJMJV1EOH9X,31,6,0,0.18,11.61290323,5
A2VEUYSAOYJJDC,10,3,1,0.09,18,5
A2WP04RFZ9STGJ,48,5,0.6,0.15,6.25,5
A2YE2I9DYV9OKW,28,3,0.333333333,0.09,6.428571429,2
A304JFG8AJM7U6,74,9,0.888888889,0.27,7.297297297,3
A306XHZ4SSZN23,95,8,0.375,0.24,5.052631579,4
A30DEG9REA9V2N,142,8,0.5,0.24,3.38028169,3
A31EUQA8YR9SPI,80,8,0.375,0.24,6,4
A333JTLOVOOWS,10,3,0.333333333,0.09,18,3
A334GA484JTNIM,87,8,0.5,0.24,5.517241379,4
A33LPSMA0N618I,57,6,0.5,0.18,6.315789474,3
A356EVHB3TU90R,30,7,0.571428571,0.21,14,5
A35IT4GHURUWK7,76,9,0.666666667,0.27,7.105263158,4
A37O5SYY9VWSPY,62,7,0.428571429,0.21,6.774193548,5
A38CJGMJRTWE87,15,3,0.333333333,0.09,12,5
A3AYHESLQSDY5T,113,9,0.666666667,0.27,4.778761062,5
A3B84NGQT7Z9WE,89,5,0.6,0.15,3.370786517,4
A3BJZIRRQVSOT7,15,3,0.333333333,0.09,12,5
A3DTPGXKABAFEJ,138,9,0.666666667,0.27,3.913043478,3
A3DZGDF9HCTAOB,119,9,0.777777778,0.27,4.537815126,5
