"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Answer.task-set-eval","Answer.task-set-rating","Approve","Reject"
"3RSBJ6YZEE1WES70Y0U8V590CIWOFC","3027X0504M7ZFXT83I3N55D46MD531","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.07","Sat Aug 17 08:25:40 PDT 2019","171","BatchId:3738737;OriginalHitTemplateId:928390828;","900","345600","Sat Aug 24 20:21:11 PDT 2019","","","30BUDKLTXG6LMOYFOCJ5T0KWOPTE5K","A2RLY2I4U06ETD","Approved","Sat Aug 17 08:38:31 PDT 2019","Sat Aug 17 08:40:00 PDT 2019","Wed Aug 21 08:40:00 PDT 2019","Sun Aug 18 17:23:37 PDT 2019","","","89","100% (6/6)","100% (1/1)","100% (1/1)","XBRk6HJghx","easy","3"
"3RSBJ6YZEE1WES70Y0U8V590CIWOFC","3027X0504M7ZFXT83I3N55D46MD531","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.07","Sat Aug 17 08:25:40 PDT 2019","171","BatchId:3738737;OriginalHitTemplateId:928390828;","900","345600","Sat Aug 24 20:21:11 PDT 2019","","","30ZX6P7VFB61Y71KKUSYS9UC9NCJ2N","A3HC8FUORPCNN1","Approved","Sat Aug 17 12:26:59 PDT 2019","Sat Aug 17 12:30:02 PDT 2019","Wed Aug 21 12:30:02 PDT 2019","Sun Aug 18 17:23:38 PDT 2019","","","183","100% (6/6)","100% (1/1)","100% (1/1)","q8DJ2xIE1B","easy","3"
"3RSBJ6YZEE1WES70Y0U8V590CIWOFC","3027X0504M7ZFXT83I3N55D46MD531","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.07","Sat Aug 17 08:25:40 PDT 2019","171","BatchId:3738737;OriginalHitTemplateId:928390828;","900","345600","Sat Aug 24 20:21:11 PDT 2019","","","317HQ483IA31SI67OV5I8WIA74AINZ","A2HJ05IDCIY01V","Approved","Sat Aug 17 22:31:39 PDT 2019","Sat Aug 17 22:34:17 PDT 2019","Wed Aug 21 22:34:17 PDT 2019","Sun Aug 18 17:23:38 PDT 2019","","","158","100% (6/6)","100% (1/1)","100% (1/1)","8J3MksBMtB","easy","4"
"3RSBJ6YZEE1WES70Y0U8V590CIWOFC","3027X0504M7ZFXT83I3N55D46MD531","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.07","Sat Aug 17 08:25:40 PDT 2019","171","BatchId:3738737;OriginalHitTemplateId:928390828;","900","345600","Sat Aug 24 20:21:11 PDT 2019","","","31Q0U3WYDSQ1PRIM0H3NK0FYQML71A","A3GTPW3MYSLMR7","Approved","Sat Aug 17 09:01:17 PDT 2019","Sat Aug 17 09:03:36 PDT 2019","Wed Aug 21 09:03:36 PDT 2019","Sun Aug 18 17:23:38 PDT 2019","","","139","100% (6/6)","100% (1/1)","100% (1/1)","1DqmAMuVm2","similar","3"
"3RSBJ6YZEE1WES70Y0U8V590CIWOFC","3027X0504M7ZFXT83I3N55D46MD531","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.07","Sat Aug 17 08:25:40 PDT 2019","171","BatchId:3738737;OriginalHitTemplateId:928390828;","900","345600","Sat Aug 24 20:21:11 PDT 2019","","","32SCWG5HIKFL2JNJ299LFIX0YR66PD","A3P86OK72F8M99","Approved","Sat Aug 17 08:41:39 PDT 2019","Sat Aug 17 08:44:42 PDT 2019","Wed Aug 21 08:44:42 PDT 2019","Sun Aug 18 17:23:38 PDT 2019","","","183","100% (6/6)","100% (1/1)","100% (1/1)","pgBigxaDry","easy|similar","3"
"3RSBJ6YZEE1WES70Y0U8V590CIWOFC","3027X0504M7ZFXT83I3N55D46MD531","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.07","Sat Aug 17 08:25:40 PDT 2019","171","BatchId:3738737;OriginalHitTemplateId:928390828;","900","345600","Sat Aug 24 20:21:11 PDT 2019","","","338JKRMM29AUC41Y99ISMEXV8JRAH7","A2880Y23V0UITQ","Approved","Sat Aug 17 09:58:01 PDT 2019","Sat Aug 17 10:02:27 PDT 2019","Wed Aug 21 10:02:27 PDT 2019","Sun Aug 18 17:23:38 PDT 2019","","","266","100% (6/6)","100% (1/1)","100% (1/1)","VcZjcXzLIp","challenging","4"
"3RSBJ6YZEE1WES70Y0U8V590CIWOFC","3027X0504M7ZFXT83I3N55D46MD531","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.07","Sat Aug 17 08:25:40 PDT 2019","171","BatchId:3738737;OriginalHitTemplateId:928390828;","900","345600","Sat Aug 24 20:21:11 PDT 2019","","","33C7UALJVO95P5N5AMVTY0BT16U18U","AOEO9ZV81R0I4","Approved","Sat Aug 17 09:29:35 PDT 2019","Sat Aug 17 09:32:17 PDT 2019","Wed Aug 21 09:32:17 PDT 2019","Sun Aug 18 17:23:38 PDT 2019","","","162","100% (6/6)","100% (1/1)","100% (1/1)","Iho5nAsCfJ","similar","4"
"3RSBJ6YZEE1WES70Y0U8V590CIWOFC","3027X0504M7ZFXT83I3N55D46MD531","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.07","Sat Aug 17 08:25:40 PDT 2019","171","BatchId:3738737;OriginalHitTemplateId:928390828;","900","345600","Sat Aug 24 20:21:11 PDT 2019","","","33F859I569OZVE6QFNIOHPH1Q18HB5","A2CAMPAA7650H2","Approved","Sat Aug 17 08:58:24 PDT 2019","Sat Aug 17 09:00:22 PDT 2019","Wed Aug 21 09:00:22 PDT 2019","Sun Aug 18 17:23:38 PDT 2019","","","118","100% (6/6)","100% (1/1)","100% (1/1)","uOiVSQjSoI","easy","4"
"3RSBJ6YZEE1WES70Y0U8V590CIWOFC","3027X0504M7ZFXT83I3N55D46MD531","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.07","Sat Aug 17 08:25:40 PDT 2019","171","BatchId:3738737;OriginalHitTemplateId:928390828;","900","345600","Sat Aug 24 20:21:11 PDT 2019","","","33FBRBDW6RAPC8X3QJKDFWUK53H8CN","A2IQFNKKQ4VU1U","Approved","Sat Aug 17 08:48:24 PDT 2019","Sat Aug 17 08:54:45 PDT 2019","Wed Aug 21 08:54:45 PDT 2019","Sun Aug 18 17:23:38 PDT 2019","","","381","100% (8/8)","100% (1/1)","100% (1/1)","gSUERt6tXv","easy|similar","5"
"3RSBJ6YZEE1WES70Y0U8V590CIWOFC","3027X0504M7ZFXT83I3N55D46MD531","Task Completion","Complete tasks based on your preferences","easy, research, microtasks","$0.07","Sat Aug 17 08:25:40 PDT 2019","171","BatchId:3738737;OriginalHitTemplateId:928390828;","900","345600","Sat Aug 24 20:21:11 PDT 2019","","","33FOTY3KEPW718DIRYBY0M7CRXCC18","A1LUWOV426JV1N","Approved","Sat Aug 17 08:56:21 PDT 2019","Sat Aug 17 08:59:44 PDT 2019","Wed Aug 21 08:59:44 PDT 2019","Sun Aug 18 17:23:39 PDT 2019","","","203","100% (6/6)","100% (1/1)","100% (1/1)","UbjTGBYIN6","easy|similar","3"
